"Longitude","Latitude","Date","Category","Description"
"-88.2252789","40.1131984","8/16/2012","Theft","Valued at $100"
"-88.2225752","40.1060104","8/17/2012","Theft","Valued at $119"
"-88.2267594","40.1156927","8/17/2012","Theft","Valued at $1000"
"-88.2255685","40.1144374","8/26/2012","Theft","Valued at $5"
"-88.2302999","40.1125256","8/25/2012","Theft","Valued at $75"
"-88.226974","40.1148476","8/27/2012","Theft","Valued at $300"
"-88.2267594","40.1156353","8/24/2012","Theft","Valued at $60"
"-88.2143998","40.0965769","8/25/2012","Theft","Valued at $20"
"-88.2317483","40.1015954","8/27/2012","Theft","Valued at $60"
"-88.2248551","40.1106302","8/28/2012","Theft","Valued at $300"
"-88.2255578","40.1140435","8/24/2012","Theft","Valued at $550"
"-88.2208961","40.1092599","8/31/2012","Theft","Valued at $700"
"-88.2249248","40.1106466","8/31/2012","Theft","Valued at $100"
"-88.2210088","40.1092804","9/02/2012","Theft","Valued at $900"
"-88.2193619","40.1041024","9/07/2012","Theft","Valued at $390"
"-88.2216471","40.1112702","9/10/2012","Theft","Valued at $90"
"-88.2252091","40.1128538","9/13/2012","Theft","Valued at $300"
"-88.2225108","40.1126938","9/14/2012","Theft","Valued at $100"
"-88.2203758","40.1005203","9/14/2012","Theft","Valued at $250"
"-88.2334971","40.1030931","9/07/2012","Theft","Valued at $550"
"-88.232832","40.1046892","9/01/2012","Theft","Valued at $500"
"-88.2384861","40.1040409","9/22/2012","Theft","Valued at $100"
"-88.2260299","40.1143882","9/21/2012","Theft","Valued at $400"
"-88.221159","40.1041558","9/23/2012","Theft","Valued at $200"
"-88.2384914","40.1038809","9/21/2012","Theft","Valued at $50"
"-88.2270598","40.1098178","9/21/2012","Theft","Valued at $50"
"-88.2241201","40.1138056","9/24/2012","Theft","Valued at $300"
"-88.22294","40.0982635","9/24/2012","Theft","Valued at $360"
"-88.2210839","40.1092845","9/19/2012","Theft","Valued at $700"
"-88.2241201","40.1136169","10/03/2012","Theft","Valued at $149"
"-88.2225323","40.1059201","10/05/2012","Theft","Valued at $135"
"-88.2285726","40.1075941","10/08/2012","Theft","Valued at $88"
"-88.2212234","40.1093009","10/24/2012","Theft","Valued at $250"
"-88.2344627","40.1053703","11/09/2012","Theft","Valued at $300"
"-88.2334918","40.1039383","11/12/2012","Theft","Valued at $300"
"-88.232832","40.104841","11/11/2012","Theft","Valued at $90"
"-88.2256866","40.1084557","11/12/2012","Theft","Valued at $250"
"-88.2209605","40.1093337","12/04/2012","Theft","Valued at $300"
"-88.2274675","40.1098999","12/08/2012","Theft","Valued at $200"
"-88.2386684","40.0979762","12/22/2012","Theft","Valued at $200"
"-88.2345164","40.1015462","1/16/2013","Theft","Valued at $50"
"-88.2345808","40.10162","1/16/2013","Theft","Valued at $50"
"-88.2384968","40.1039568","11/01/2012","Theft","Valued at $200"
"-88.2193834","40.1040327","1/17/2013","Theft","Valued at $360"
"-88.2194638","40.1040491","1/17/2013","Theft","Valued at $100"
"-88.2232136","40.1106794","2/07/2013","Theft","Valued at $400"
"-88.2368445","40.1040327","3/15/2013","Theft","Valued at $700"
"-88.2365334","40.1013574","4/09/2013","Theft","Valued at $400"
"-88.2384914","40.1038398","4/10/2013","Theft","Valued at $150"
"-88.2267058","40.1042625","4/17/2013","Theft","Valued at $250"
"-88.2230902","40.1106876","4/24/2013","Theft","Valued at $800"
"-88.2286155","40.1066586","4/27/2013","Theft","Valued at $190"
"-88.2194209","40.1040286","4/29/2013","Theft","Valued at $250"
"-88.2149363","40.1104579","5/02/2013","Theft","Valued at $600"
"-88.2366943","40.1016118","1/01/2013","Theft","Valued at $200"
"-88.2330143","40.1015626","5/07/2013","Theft","Valued at $50"
"-88.2267594","40.1156353","4/07/2013","Theft","Valued at $60"
"-88.2203731","40.1006516","5/08/2013","Theft","Valued at $200"
"-88.2208371","40.1093296","5/10/2013","Theft","Valued at $300"
"-88.2203329","40.0991744","5/13/2013","Theft","Valued at $120"
"-88.2175541","40.1037496","5/13/2013","Theft","Valued at $200"
"-88.2175058","40.1037578","5/13/2013","Theft","Valued at $300"
"-88.2219744","40.1044676","5/16/2013","Theft","Valued at $100"
"-88.2202256","40.0991826","5/19/2013","Theft","Valued at $300"
"-88.2272208","40.1105974","5/21/2013","Theft","Valued at $150"
"-88.236115","40.1013656","6/04/2013","Theft","Valued at $100"
"-88.221159","40.1040901","5/19/2013","Theft","Valued at $100"
"-88.2270008","40.1106056","6/04/2013","Theft","Valued at $150"
"-88.2241201","40.1137523","6/10/2013","Theft","Valued at $250"
"-88.2230097","40.1106794","6/11/2013","Theft","Valued at $50"
"-88.2204294","40.1126651","6/14/2013","Theft","Valued at $400"
"-88.233186","40.1035978","6/19/2013","Theft","Valued at $167"
"-88.2362652","40.1013656","6/24/2013","Theft","Valued at $200"
"-88.2225296","40.1128005","6/24/2013","Theft","Valued at $200"
"-88.2250106","40.1151758","7/08/2013","Theft","Valued at $50"
"-88.2303911","40.1079469","7/12/2013","Theft","Valued at $50"
"-88.2240745","40.1138118","7/15/2013","Theft","Valued at $350"
"-88.2209605","40.1093337","7/15/2013","Theft","Valued at $300"
"-88.2266682","40.1042337","7/16/2013","Theft","Valued at $100"
"-88.2258046","40.1143635","7/13/2013","Theft","Valued at $200"
"-88.2210517","40.1093173","7/23/2013","Theft","Valued at $100"
"-88.2209659","40.1093009","7/26/2013","Theft","Valued at $190"
"-88.2240772","40.1137851","8/01/2013","Theft","Valued at $300"
"-88.2258689","40.1143635","8/02/2013","Theft","Valued at $5"
"-88.2211161","40.1040942","8/09/2013","Theft","Valued at $200"
"-88.224096","40.1138056","8/13/2013","Theft","Valued at $100"
"-88.225354","40.1078403","6/14/2013","Theft","Valued at $400"
"-88.2269525","40.1147491","8/14/2013","Theft","Valued at $300"
"-88.2268882","40.1156107","8/15/2013","Theft","Valued at $200"
"-88.2210517","40.1092927","8/19/2013","Theft","Valued at $250"
"-88.2386255","40.0979762","8/15/2013","Theft","Valued at $140"
"-88.2254988","40.108788","8/16/2013","Theft","Valued at $500"
"-88.2249248","40.1151922","8/23/2013","Theft","Valued at $1"
"-88.2204187","40.099199","8/20/2013","Theft","Valued at $95"
"-88.2258368","40.1100148","6/15/2013","Theft","Valued at $565"
"-88.2299137","40.1019647","8/28/2013","Theft","Valued at $200"
"-88.214196","40.0913365","9/01/2013","Theft","Valued at $98"
"-88.2241201","40.1138056","9/02/2013","Theft","Valued at $100"
"-88.2193404","40.1040696","8/30/2013","Theft","Valued at $150"
"-88.224096","40.1137646","9/03/2013","Theft","Valued at $230"
"-88.2300639","40.1078567","9/05/2013","Theft","Valued at $80"
"-88.2241791","40.1138138","9/06/2013","Theft","Valued at $200"
"-88.2383895","40.1039014","9/08/2013","Theft","Valued at $700"
"-88.226746","40.1157091","9/10/2013","Theft","Valued at $100"
"-88.2240745","40.1138118","9/11/2013","Theft","Valued at $220"
"-88.2219744","40.1044676","9/09/2013","Theft","Valued at $1000"
"-88.2365334","40.1014949","9/13/2013","Theft","Valued at $350"
"-88.2232136","40.1106794","9/17/2013","Theft","Valued at $100"
"-88.2218027","40.1112784","9/19/2013","Theft","Valued at $94"
"-88.2364529","40.1015133","9/18/2013","Theft","Valued at $250"
"-88.2240772","40.1137851","9/19/2013","Theft","Valued at $350"
"-88.2285619","40.1057355","9/19/2013","Theft","Valued at $200"
"-88.2209659","40.1093009","9/18/2013","Theft","Valued at $900"
"-88.2241201","40.1138056","9/18/2013","Theft","Valued at $200"
"-88.2192814","40.1005778","9/21/2013","Theft","Valued at $200"
"-88.2193458","40.1005696","9/13/2013","Theft","Valued at $50"
"-88.2192814","40.1005778","9/21/2013","Theft","Valued at $50"
